Entity,SiteX,SiteY,Age,GridX,GridY,Veg_dissim,Distance_to_pollen_match,Distance_to_climate_grid,GridID,Tdjf_clim,Tmam_clim,Tjja_clim,Tson_clim,Pdjf_clim,Pmam_clim,Pjja_clim,Pson_clim,Tdjf_disp,Tmam_disp,Tjja_disp,Tson_disp,Pdjf_disp,Pmam_disp,Pjja_disp,Pson_disp,Disp_mean,Disp_variance,Divergence,Clim_dissim,Distance_to_climate_match
238,5936.198,-433835.637,9,-919.209293035325,-455595.022814703,0.019,0,22813.7563804495,3082,-16.0238483851622,-0.656860012738036,17.1482456636851,3.71804219457002,50.1100600583024,56.5685570239085,89.4489788543247,88.7169901843795,2.32321035182711,2.12280585378525,0.0658985568486,0.592977262269049,0.0488593905116478,2.36082753927942,1.60312416631328,0.0486712228897023,1.14579679296551,1.12929189281723,42.9626636230221,0.431,70710.678
238,5936.198,-433835.637,9.5,-919.209293035325,-455595.022814703,0.032,121160.827,22813.7563804495,2868,-17.2938300195672,-1.44901161336672,17.175108013428,3.14617427227144,48.8522248129124,49.8658960074841,86.608560974904,93.2568514654288,0.69588394549164,0.731281851891516,0.725356267690297,1.64727239966863,0.0890426681683513,0.0316000654902591,1.03605794766562,1.58130479629676,0.817224992795384,0.356955752299568,43.9424793009107,0.965,0
238,5936.198,-433835.637,10,-919.209293035325,-455595.022814703,0.047,0,22813.7563804495,2668,-17.7277918924699,-1.49830365565973,16.9462214225075,2.24107303667321,49.1474139048893,52.7981664385434,85.6021704996547,86.3491117028452,2.57899955020837,6.41743776321424,8.45220331106371,4.67090963580289,0.666024163280115,1.17382963212926,3.32001059798559,1.05276991980684,3.54152307168638,7.81500821284642,46.586513107759,1.502,353553.391
238,5936.198,-433835.637,10.5,-919.209293035325,-455595.022814703,0.14,273705.46,22813.7563804495,2531,-20.2409260459372,-3.58709581073507,13.7185289887072,-0.497553652864972,46.0806711116151,52.781938081833,77.917499143472,82.1409377476682,2.05455337919687,3.1578058956976,2.26089599539411,3.10390269822362,0.210238833674417,0.0477888133221769,0.281029867242647,0.245923976935692,1.42026743246089,1.85535060197231,42.9014169715336,0.778,50000
241,-1047629.718,-372078.254,0,-1050919.20929304,-355595.022814703,0.047,51023.758,16808.2617564974,1629,-11.1825528356856,5.07710578009848,19.1149497590996,7.10123153725998,18.4143912646449,56.0185763429139,98.6198429602362,54.2059722450053,2.03820038712486,0.644216697205826,0.00101994410750994,0.234065528552685,0.889722759315661,6.62984782469001,1.03045039414171,1.62818637085781,1.63696373824951,4.52088129717885,38.8260627708871,0.278,158113.883
241,-1047629.718,-372078.254,0.5,-1050919.20929304,-355595.022814703,0.101,195282.833,16808.2617564974,1629,-11.132188717464,4.67585684588224,18.9168213770924,7.0189276644817,19.1661902014099,66.609151822113,96.4353376577718,57.4892737523198,0.635911646946936,0.690864516774949,0.122539569952519,0.334785901414837,0.317717747836965,0.981826846260937,9.10511535067778,0.938223902155068,1.6408731852525,9.18819637595126,96.893217846248,0.508,70710.678
280,-1023483.552,-253772.595,0,-1000919.20929304,-255595.022814703,0.031,0,22637.8180250868,1726,-12.378053471945,3.76313802585022,17.9603966450073,6.02277305420713,19.4430356898429,51.5401757261135,94.9804268682327,54.870219088825,2.38328572769858,0.569085700106451,0.0116815761490613,0.226428974465046,0.135704364688829,3.48064631052514,1.15152182455336,1.4449584710851,1.17541411865895,1.50710729143213,109.673459279261,0.312,111803.399
280,-1023483.552,-253772.595,0.5,-1000919.20929304,-255595.022814703,0.037,18934.91,22637.8180250868,1726,-12.3876664705434,3.33458966993636,17.7663796755093,5.91186033320993,19.8023002950195,59.8936431622621,93.3625894817679,57.5123907339426,0.764009904331924,0.546845989570533,0.156360239320743,0.17682205856102,0.102254971281926,0.387612875491109,6.2821717844751,0.493130422078615,1.11365103063887,4.41232529342136,108.573458468235,0.571,70710.678
287,-824285.4,-775308.685,6,-800919.209293035,-755595.022814703,0.086,0,30571.3484313379,2115,-8.22892644186022,5.10131954851111,20.6524108305047,9.59372475623515,32.2052133224839,79.5568368500229,103.546255068245,77.7159968312899,1.21228026795249,1.32117570573389,0.458319269968611,1.43137415596875,0.546624651115422,1.41131841401178,0.795760908252038,3.33228665020265,1.3136425029007,0.813821733546728,38.8253103402535,0.714,158113.883
287,-824285.4,-775308.685,6.5,-800919.209293035,-755595.022814703,0.047,0,30571.3484313379,2115,-8.50848062243236,5.11592925247846,20.7644271261007,9.02328875857714,34.0084265705377,79.0673737179379,104.53204164951,83.4237630038119,1.58354660903221,0.638935788968234,1.67600958050998,0.348590822890479,0.072206084990178,0.398450731348635,1.6745059559643,0.205979360002585,0.824778116713325,0.487812192003142,37.3075725822094,0.301,0
287,-824285.4,-775308.685,7,-800919.209293035,-755595.022814703,0.046,0,30571.3484313379,2115,-8.6993576494027,5.01473764311676,21.0573405285513,9.00506923182879,33.5663626617232,81.494038795647,105.966098620256,83.9972125102655,0.318493035028884,0.141349999287267,0.534361572110016,0.347167538424887,0.322349111423919,1.43257015238154,1.01733593756215,1.6063609122511,0.71499853230872,0.315605142415602,35.5147569691151,0.251,50000
287,-824285.4,-775308.685,7.5,-800919.209293035,-755595.022814703,0.084,0,30571.3484313379,2109,-9.16792067326129,4.80038631337426,21.1602371010997,8.85025957630079,33.1033146321962,80.5139264658941,105.596250902207,81.6046242620714,3.90673243136827,0.442689088462782,0.868232270984241,2.1064519580409,0.160056311000766,1.25217505933695,1.66743243114184,1.71265767514763,1.51455340318542,1.37223008357706,35.7465285016529,0.362,111803.399
287,-824285.4,-775308.685,8,-800919.209293035,-755595.022814703,0.119,0,30571.3484313379,2086,-10.3864779518016,4.4464546298002,20.9931070262209,8.13298522176462,33.1206038520595,80.0702069582829,110.826230141323,84.8202096837205,2.58511475041043,0.18937259324529,1.23650403142631,0.162459032098129,0.731636955612832,2.34387408841942,8.84768444678905,0.207450924101111,2.03801210276282,8.48566615624136,30.9359505134321,0.579,158113.883
287,-824285.4,-775308.685,8.5,-800919.209293035,-755595.022814703,0.248,0,30571.3484313379,2056,-10.5496388705129,4.19612888826594,20.8952017938451,7.86743725664606,32.2630666537951,77.2685315930272,124.868400118723,83.1336216223276,0.391059323411629,0.479303036679952,1.00819377544504,0.791562201052543,0.229243549585303,0.999677445924719,0.428621954184129,1.42136391389122,0.718628150021817,0.164310373512379,31.6221771029117,0.929,254950.976
287,-824285.4,-775308.685,9,-800919.209293035,-755595.022814703,0.075,0,30571.3484313379,1995,-10.3748551711195,4.81530672456266,21.4363383031377,7.75287113221813,31.9284660318558,75.4047664073451,108.798472992052,81.107121061481,5.38902866431776,3.30515283324497,1.21171905268535,1.87687757366413,0.384005861597262,0.250205737458568,2.6686850146615,1.98111714318619,2.13334898510197,2.82913468607548,30.9104087503779,0.755,250000
287,-824285.4,-775308.685,9.5,-800919.209293035,-755595.022814703,0.074,0,30571.3484313379,1870,-12.4783185237186,3.56226489016975,21.3247844783495,7.40156350170861,29.8452721672011,75.4962855346685,111.75475465282,79.0327198265812,1.7739874594144,1.02857532323251,0.486609486222175,1.18075503418343,0.556158948926034,0.317772219001755,2.37688747730101,0.701343107818592,1.05276113201249,0.503041447174061,31.2049364705085,0.85,70710.678
287,-824285.4,-775308.685,10,-800919.209293035,-755595.022814703,0.085,0,30571.3484313379,1811,-12.1497822177571,3.88296849758803,21.1987172264653,6.83648638496487,31.0733068495011,72.9056117247943,100.336529063094,77.9875358390575,3.56142607904401,3.42171602566595,7.20363304405091,2.51016189682027,0.624303294725737,1.57633816020619,5.59049203697044,3.703933493313,3.52400050384956,4.44054611239601,29.4897500131458,0.617,1e+05
