(Intercept),clim_dissim,disp_mean,disp_variance,divergence,clim_dissim:disp_mean,clim_dissim:disp_variance,clim_dissim:divergence,disp_mean:disp_variance,disp_mean:divergence,disp_variance:divergence,df,logLik,AICc,delta,weight
0.0506323272454749,0.0343602835487587,NA,NA,7.15230439521777e-05,NA,NA,NA,NA,NA,NA,7,3778.33217362111,-7542.63153153757,0,0.120318993781869
0.0500535970353188,0.0332896132421533,0.000800654425056839,NA,7.04365260041454e-05,NA,NA,NA,NA,NA,NA,8,3778.70962005417,-7541.3770361224,1.25449541516264,0.0642575219281863
0.0506575842569948,0.034254181844171,NA,3.81658985501569e-06,7.11743473001479e-05,NA,NA,NA,NA,NA,NA,8,3778.66218522854,-7541.28216647114,1.3493650664268,0.061280639685077
0.0548559064297956,0.0353927930533251,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3776.60316044506,-7541.18171632069,1.44981521687441,0.0582788290239055
0.0540359659107962,0.0276439878298519,NA,NA,2.73536661303748e-05,NA,NA,8.96427074179663e-05,NA,NA,NA,8,3778.51989133805,-7540.99757869016,1.63395284740636,0.0531527622148365
0.0541873297331075,0.0342190937379172,0.000855031661718914,NA,NA,NA,NA,NA,NA,NA,NA,7,3777.03438835654,-7540.03596100842,2.59557052914715,0.0328634544291553
0.0548620130989012,0.0352772269484513,NA,3.9140755614e-06,NA,NA,NA,NA,NA,NA,NA,7,3776.94980574364,-7539.86679578263,2.76473575494128,0.0301980882635524
0.0532105112473229,0.0271525970826594,0.000770325385755757,NA,2.97610684733387e-05,NA,NA,8.26252707231815e-05,NA,NA,NA,9,3778.86823676154,-7539.68370307453,2.94782846303315,0.0275563297940794
0.0485413778531231,0.0331731786623736,0.0021423007343318,NA,8.91141421525483e-05,NA,NA,NA,NA,-1.65739892112613e-05,NA,9,3778.85443958363,-7539.65610871871,2.97542281886126,0.0271787410288026
0.0540401780301415,0.0275804686509244,NA,3.80263608124593e-06,2.72826973544785e-05,NA,NA,8.90827259405435e-05,NA,NA,NA,9,3778.84758788143,-7539.6424053143,2.98912622326498,0.0269931568986811
0.0507762532270962,0.034267797563972,NA,-2.50219607714959e-05,6.93531319282846e-05,NA,NA,NA,NA,NA,3.55464938298995e-07,9,3778.79841696159,-7539.54406347463,3.08746806293857,0.0256979819596461
0.0502651051484923,0.0336052296928018,0.000529220396345431,1.9603580993062e-06,7.06235584139891e-05,NA,NA,NA,NA,NA,NA,9,3778.75103598763,-7539.44930152671,3.18223001085971,0.0245087817447106
0.0504467812972895,0.0326016295710449,0.000587314012958387,NA,7.03890971211149e-05,0.000276239721767829,NA,NA,NA,NA,NA,9,3778.72104940951,-7539.38932837047,3.24220316709943,0.023784757010885
0.0507202208784943,0.0341132475541835,NA,1.51292316236417e-06,7.10973322931852e-05,NA,4.27299478769333e-06,NA,NA,NA,NA,9,3778.67349512661,-7539.29421980466,3.33731173290471,0.022680162208042
0.0512610256959489,0.0344923286949361,-0.000683142199843803,4.81389695457145e-05,7.07767794128197e-05,NA,NA,NA,-9.69854467186057e-07,NA,NA,10,3779.60990225414,-7539.15528837924,3.476243158324,0.0211581445855874
0.0527429227066879,0.0226521827108891,0.00312888975129771,NA,3.44071207466713e-05,NA,NA,0.000140490626909342,NA,-2.93987623758889e-05,NA,10,3779.23640836021,-7538.40830059139,4.22323094617423,0.014563683876025
0.0543768406373321,0.0345121675123006,0.000611764645867953,1.76613421109044e-06,NA,NA,NA,NA,NA,NA,NA,8,3777.06793613324,-7538.09366828054,4.53786325702185,0.0124437049533967
0.0546141642652501,0.033468902556623,0.00062298505612144,NA,NA,0.000299846469182162,NA,NA,NA,NA,NA,8,3777.04805508871,-7538.05390619149,4.57762534607446,0.0121987541086085
0.0549298541068756,0.0351092708628741,NA,1.22951867495391e-06,NA,NA,4.97900451369051e-06,NA,NA,NA,NA,8,3776.96518180916,-7537.88815963239,4.74337190517599,0.011228560136548
0.0538712959316845,0.0281307921572877,NA,-2.17295032926589e-05,2.92007989645688e-05,NA,NA,8.19129627448458e-05,NA,NA,3.14723903860706e-07,10,3778.95335319262,-7537.84219025621,4.78934128135916,0.0109734185909347
0.0553644661728524,0.0354094074762006,-0.000589833307932487,4.77117958381101e-05,NA,NA,NA,NA,-9.65289450653653e-07,NA,NA,9,3777.91875159548,-7537.78473274241,4.84679879516079,0.0106626512690884
0.0535290031647212,0.0273128894330578,0.000472084991988479,2.14767898098689e-06,2.87940666378662e-05,NA,NA,8.50050113008786e-05,NA,NA,NA,10,3778.918203489,-7537.77189084896,4.85964068860267,0.0105944062865541
0.0487191767537083,0.0335075652005177,0.0018861281517194,2.10791121368843e-06,8.97940284822562e-05,NA,NA,NA,NA,-1.70072744872338e-05,NA,10,3778.9029839928,-7537.74145185657,4.89007968099395,0.0104343855665791
0.0490624829993473,0.0319971387673774,0.00190976354010912,NA,9.08231228285177e-05,0.00046733106120419,NA,NA,NA,-1.81606187456061e-05,NA,10,3778.88766834971,-7537.71082057038,4.92071096718792,0.0102757938087318
