(Intercept),clim_dissim,disp_mean,disp_variance,divergence,clim_dissim:disp_mean,clim_dissim:disp_variance,clim_dissim:divergence,disp_mean:disp_variance,disp_mean:divergence,disp_variance:divergence,df,logLik,AICc,delta,weight
0.0901202331209927,-0.0341502522827542,-0.0152925667737803,0.000106028461979895,NA,0.0132651073262626,-7.81148568866493e-05,NA,-1.38356520073658e-07,NA,NA,11,12672.8686256136,-25323.7077803632,0,0.176595093187607
0.0904323895809513,-0.0354081963003342,-0.0157037025451963,0.000115504686817972,NA,0.0145453365333099,-0.000113767274246461,NA,NA,NA,NA,10,12671.5404694108,-25323.0563825095,0.651397853620438,0.127505637088376
0.0919918887685635,-0.0341253654216783,-0.0152656174963792,0.000105532197480778,-2.06884085524699e-05,0.0131812094945194,-7.68899510490976e-05,NA,-1.42094765748109e-07,NA,NA,12,12673.3733407468,-25322.7118484022,0.995931960911548,0.107328424615383
0.0921750198891811,-0.0354164654790208,-0.0156890659223874,0.000115282380885376,-1.91806357641925e-05,0.0144996877786778,-0.000113525145312498,NA,NA,NA,NA,11,12671.9749642245,-25321.9204575849,1.78732277823292,0.0722547532512191
0.0918055725140667,-0.0339686161922689,-0.0152465924588139,0.000122063353547039,-1.85833159091001e-05,0.013018009389793,-7.20485627505588e-05,NA,-1.43051018127994e-07,NA,-2.14366118730472e-07,13,12673.9690503459,-25321.8974575474,1.81032281570515,0.071428581833555
0.0896316669920599,-0.0303300345322521,-0.0152334236903786,0.000105127872578451,1.09098669548931e-05,0.0130944630498432,-7.56435407857554e-05,-4.79650230131258e-05,-1.46444900905199e-07,NA,NA,13,12673.7136090793,-25321.3865750144,2.32120534874048,0.0553267672515666
0.0919927906172364,-0.0352706646954888,-0.0156731618399606,0.00013161611422978,-1.70987576399612e-05,0.0143478380408682,-0.000109003262944409,NA,NA,NA,-2.10967356717742e-07,12,12672.5517572053,-25321.0686813193,2.63909904389584,0.0471960395362766
0.0912643177854293,-0.0340390312926717,-0.014660396203655,0.000104321750427766,-1.28821312125884e-05,0.0130666146253874,-7.53493406143904e-05,NA,-1.43493200621598e-07,-6.20765508661411e-06,NA,13,12673.4883408256,-25320.9360385069,2.77174185626427,0.0441674713022813
0.0895520471195571,-0.0303412942601488,-0.0152162391225872,0.000121274919310508,1.15967068399941e-05,0.0129389524161372,-7.09733816702673e-05,-4.58898804647818e-05,-1.47190507211396e-07,NA,-2.09159973054589e-07,14,12674.2802055163,-25320.5135098601,3.19427050302329,0.0357562204060968
0.0901246229216579,-0.0321464333119267,-0.0156725032781274,0.000115191757067516,8.37051280251321e-06,0.0144595123344406,-0.000113417967740507,-4.17594663103893e-05,NA,NA,NA,12,12672.2337923084,-25320.4327515255,3.27502883769557,0.0343411754292823
0.092903501971099,-0.0340254541159563,-0.0162340419583837,0.000133076782517909,-3.03051911900227e-05,0.0131179161728046,-7.19475739354932e-05,NA,-1.41267061567832e-07,1.02345551787198e-05,-3.3130318056627e-07,14,12674.1044085188,-25320.161915865,3.54586449810813,0.0299918972596269
0.0915368240090323,-0.0353516769373729,-0.0151605674978507,0.000114302541733454,-1.23033333451382e-05,0.0144103558453922,-0.000112487650037844,NA,NA,-5.45847627303992e-06,NA,12,12672.0639498778,-25320.0930666641,3.61471369906576,0.0289770069976874
0.089053101059985,-0.0303732708785373,-0.0146906537219375,0.000104053000698414,1.69179717867151e-05,0.0129942385739605,-7.42987160484122e-05,-4.64385682378002e-05,-1.47563486367075e-07,-5.57743117436707e-06,NA,14,12673.8061164906,-25319.5653318087,4.14244855449215,0.0222565250355163
0.0900485295294142,-0.032166670629322,-0.015657760398653,0.00013117461699667,9.03494642698713e-06,0.0143129503770378,-0.000108999736830387,-3.9679769613822e-05,NA,NA,-2.06377860344494e-07,13,12672.7852056861,-25319.529768228,4.17801213512575,0.021864262078792
0.0932295049568817,-0.0353165380285309,-0.0167817826226001,0.0001439135811466,-3.03515924160312e-05,0.0144418650514266,-0.000108368793479118,NA,NA,1.15529519936728e-05,-3.43016244076627e-07,13,12672.7244460339,-25319.4082489236,4.29953143952662,0.0205753505302649
0.0883407100069673,-0.0311720680168058,-0.0133705700015452,5.83290533253685e-05,NA,0.010327216009652,NA,NA,-3.00967221618621e-07,NA,NA,10,12669.4487612463,-25318.8729661806,4.8348141825627,0.0157438909148931
0.0906562096236866,-0.0302619962900596,-0.0162869125244501,0.000133199071976441,4.60074398427048e-08,0.0130443570829353,-7.08224077789342e-05,-4.76730624712365e-05,-1.45414300634822e-07,1.11090884218036e-05,-3.35886639697529e-07,15,12674.4392435728,-25318.8248798192,4.88290054398385,0.0153698720198729
0.0896205288328743,-0.032196539128544,-0.015199419477234,0.000114316557832288,1.3622506080387e-05,0.0143807714778869,-0.000112491646038401,-4.03784311852655e-05,NA,-4.89168181773231e-06,NA,13,12672.3049850363,-25318.5693269283,5.13845343480716,0.0135262573526268
0.0903223158419446,-0.0312331588147942,-0.0135061856269971,8.43414305983215e-05,-1.98883930472597e-05,0.0103105907827798,NA,NA,-2.90223011429593e-07,NA,-2.83105834625508e-07,12,12671.1262516394,-25318.2176701874,5.49011017579687,0.0113453096859572
0.090439212237085,-0.0311965483866659,-0.0133740230816471,5.86070821153519e-05,-2.28479261314058e-05,0.0102853444733459,NA,NA,-3.02279834846902e-07,NA,NA,11,12670.0649625605,-25318.1004542569,5.60732610623381,0.0106994939908227
0.0912695873010021,-0.032053957284015,-0.016842385619059,0.000144301033836099,-3.77422061937747e-06,0.014411695993564,-0.000108321367916539,-4.17470222667159e-05,NA,1.23531281272939e-05,-3.47333351346704e-07,14,12672.9820401989,-25317.9171792252,5.79060113790183,0.00976260171379633
0.08779297757921,-0.0271667401748221,-0.0135009722306471,8.40852728433293e-05,1.43565662025627e-05,0.0102664825887315,NA,-5.20395737405776e-05,-2.92424793685069e-07,NA,-2.76037735288616e-07,13,12671.5268933005,-25317.0131434567,6.69463690648627,0.00621236120326294
0.0877442896779686,-0.0268699290594924,-0.0133719753732626,5.90181413006748e-05,1.36755269508269e-05,0.0102390727818677,NA,-5.53826319393683e-05,-3.04302249308076e-07,NA,NA,12,12670.519362843,-25317.0038925945,6.70388776862092,0.00618369270793898
0.0893538764896751,-0.0311536118748017,-0.0124897896858546,5.81859694577342e-05,-1.06140889140695e-05,0.0101971336964662,NA,NA,-2.99457326200274e-07,-9.67507164245952e-06,NA,12,12670.3473699789,-25316.6599068664,7.04787349678008,0.00520657762694957
0.0914544370968167,-0.0312954782598025,-0.0145251078222708,9.57320681349977e-05,-3.19517555479489e-05,0.0104173604180264,NA,NA,-2.88174429133945e-07,1.05345109185477e-05,-4.03371015184275e-07,13,12671.2695891926,-25316.4985352409,7.20924512226702,0.00480298184024202
0.0868740969179076,-0.0270371460641549,-0.0125582041336242,5.86108980357017e-05,2.31906726862817e-05,0.0101600795051288,NA,-5.27365840860481e-05,-3.0160770580318e-07,-8.90504817411899e-06,NA,13,12670.7576230281,-25315.4746029119,8.23317745120949,0.00287850418001895
0.0889414857566481,-0.0270915869635427,-0.014614668506428,9.65282859385067e-05,2.37540049314592e-06,0.010381665657908,NA,-5.38724789286443e-05,-2.90263149390603e-07,1.15160715798622e-05,-4.07259934473785e-07,14,12671.6977261508,-25315.3485511291,8.35922923409453,0.00270268273655505
0.0878561664022729,-0.0307969414588336,-0.0115048160047722,4.22650044600709e-05,-1.63812763104233e-05,0.010058949567124,NA,NA,NA,NA,-4.19951371624439e-07,11,12658.7968572574,-25295.5642436509,28.1435367122867,1.36674434156975e-07
0.0896967769635836,-0.0309015093616126,-0.0131593741344978,6.09844717287932e-05,-3.57420122642915e-05,0.0102327783408919,NA,NA,NA,1.68726087525566e-05,-6.11026587253168e-07,12,12659.1650675624,-25294.2953020334,29.4124783297448,7.24669717492291e-08
0.0859130375771195,-0.0276932590481532,-0.0114892976794384,4.18258408328385e-05,9.76200334366438e-06,0.0100238958945444,NA,-3.96978322460006e-05,NA,NA,-4.15349051743247e-07,12,12659.0296377347,-25294.0244423779,29.6833379852724,6.32883373574695e-08
0.0859924790562381,-0.0306941366274373,-0.0111844023073689,6.39227933807148e-07,NA,0.0100437935058265,NA,NA,NA,NA,NA,9,12655.919561836,-25293.8190343862,29.8887459769612,5.71110188341324e-08
0.0861350193214937,-0.0317475162325857,-0.0113028017621476,NA,NA,0.0108722600494861,NA,NA,NA,NA,NA,8,12654.8787258282,-25293.7413820213,29.9663983418177,5.49361108953644e-08
0.0876977039191853,-0.0275718444037187,-0.0132224344857069,6.14145171892953e-05,-8.58613447540112e-06,0.0102035144990452,NA,-4.26516470770457e-05,NA,1.7685479026926e-05,-6.15287653255988e-07,13,12659.4329540702,-25292.825264996,30.882515367106,3.4747665062266e-08
0.0878783228509223,-0.0307143908717501,-0.0111789190976251,6.63087424650138e-07,-2.06412015051901e-05,0.0100048810722058,NA,NA,NA,NA,NA,10,12656.4210767465,-25292.817597181,30.8901831821822,3.46147007765083e-08
0.0878743045643762,-0.0318022431018032,-0.011301835057079,NA,-1.89871089092644e-05,0.0108649262416727,NA,NA,NA,NA,NA,9,12655.3041858277,-25292.5882823697,31.119497993499,3.08649446979374e-08
0.0863442331288685,-0.0306588841630109,-0.00993024653982177,8.36461497552839e-07,-2.98486865341859e-06,0.00988117205119746,NA,NA,NA,-1.39870195927872e-05,NA,11,12657.0118985947,-25291.9943263254,31.7134540377738,2.29345163957957e-08
